12
masjid agung Bandung,-6.9214397076216425,107.60766953229904
museum asia afrika,-6.9211068747632325,107.60959535837173
Queen chinese resto,-6.922560686962303,107.60913133621216
Starbucks Braga,-6.921321219150951,107.61002317070961
Apotik Kimia Farma Braga,-6.921141489391437,107.61001110076904
Masjid Raya Bandung,-6.921689997776556,107.60613933205605
Bebek Salero,-6.922962747787256,107.6062560081482
Sate Padang Om Pul,-6.920537064364784,107.6080048084259
Kantor pos bandung asia afrika,-6.920730107684282,107.60617554187775
Warung Kopi Purnama,-6.920040476704278,107.60525353252888
Kings Shopping Centre,-6.923119844307903,107.60500073432922
Golden Flower Hotel,-6.920804662324484,107.60494843125343
...
